StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,Q_RelevantIDLastStartDate,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q2,Q27,Q28,Q3,Q4,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,Q7,Q8,Q9,Q10,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q25_0_GROUP,Q25_1_GROUP,Q25_0_1_RANK,Q25_0_3_RANK,Q25_0_12_RANK,Q25_0_16_RANK,Q25_1_1_RANK,Q25_1_3_RANK,Q25_1_12_RANK,Q25_1_16_RANK,Q30_First Click,Q30_Last Click,Q30_Page Submit,Q30_Click Count,Q29_0_GROUP,Q29_1_GROUP,Q29_2_GROUP,Q29_0_1_RANK,Q29_0_2_RANK,Q29_0_3_RANK,Q29_0_4_RANK,Q29_0_5_RANK,Q29_0_6_RANK,Q29_1_1_RANK,Q29_1_2_RANK,Q29_1_3_RANK,Q29_1_4_RANK,Q29_1_5_RANK,Q29_1_6_RANK,Q29_2_1_RANK,Q29_2_2_RANK,Q29_2_3_RANK,Q29_2_4_RANK,Q29_2_5_RANK,Q29_2_6_RANK,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q74_1,Q74_2,Q74_3,Q74_4,Q75_1,Q75_2,Q75_3,Q75_4,Q76_1,Q76_2,Q76_3,Q76_4,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Small_1,Small_2,Small_3,Small_4,Medium_1,Medium_2,Medium_3,Medium_4,Large_1,Large_2,Large_3,Large_4,Q26,Random ID,Message_Received,Shelter_Information,Shelter_Type_1,Shelter_Type_2,Shelter_Type_3,Shelter_Type_4
11/19/22 12:42,11/19/22 12:43,IP Address,104.175.0.154,100,88,TRUE,11/19/22 12:43,R_yOb028f13iQyUqB,,,,,33.8515,-118.142,anonymous,EN,1,TRUE,100,0,11/18/22 23:59,10.214,19.233,24.024,6,45-54 years old,Male,Single,"$150,000 or more",California,2.076,6.179,9.108,4,"No, but I own another pet",Neither dogs nor cats,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,0,0,19.569,0,"French BullDog,Beagle","Australian Shepherd,Shetland Sheepdog","Labrador Retriever,German Shepherd",1,,,,2,,,1,,2,,,,,2,,,1,,,,,,,,,,,,,,,,,4.965,14.638,24.212,4,,,,,8,9,8,10 (high),,,,,924675,924675,No,Yes,Traditional Shelter,Traditional Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:32,11/22/22 11:36,IP Address,104.37.172.149,100,245,TRUE,11/22/22 11:36,R_3OAsEgTmlskxMbv,,,,,32.7797,-96.8022,anonymous,EN,1,TRUE,100,25,11/22/22 18:30,1.766,15.782,17.42,7,25-34 years old,Female,Single,"$50,000-$74,999",North Carolina,1.3,4.748,8.079,4,Yes,Dogs,I will shop for a dog,Small (Less than 30 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Abstain from animal euthanization
,Avoid and transfer responsibility for overcrowding to other shelters
",,2,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.275,36.342,37.989,8,3,8,4,7,,,,,,,,,,276938,Yes,Yes,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:54,11/22/22 11:56,IP Address,128.254.166.169,100,94,TRUE,11/22/22 11:56,R_42BO3NsiNgKK5rP,,,,,40.0242,-79.8846,anonymous,EN,0.899999976,TRUE,100,55,11/22/22 18:54,1.608,29.55,30.356,6,25-34 years old,Male,Married,"$50,000-$74,999",Indiana,1.797,8.416,9.661,4,Yes,Dogs,I will shop for a dog,Large (Greater than 60 lbs.),,,,,,,,,,,,,,,18.918,18.918,30.211,1,"Beagle,French BullDog","Australian Shepherd,Shetland Sheepdog","German Shepherd,Labrador Retriever",2,,,,1,,,1,,2,,,,,1,,,2,0.991,12.229,13.388,9,,,,,,,,,5,7,8,6,,,,,,,,,,,,,,,,,185377,185377,No,No,No-Kill Shelter,Traditional Shelter,No-Kill Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:26,IP Address,137.148.112.26,100,79,TRUE,11/22/22 11:26,R_2QKFPn6NvtbTDev,,,,,41.6018,-81.5257,anonymous,EN,1,,0,0,,1.403,6.624,8.991,6,35-44 years old,Female,Single,"$50,000-$74,999",Ohio,4.327,8.175,9.349,4,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,"Accept and care for all animals
,Consider euthanizing ill or unadoptable animals","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,1,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.556,33.073,33.916,8,,,,,8,4,10 (high),4,,,,,864738,864738,Yes,Yes,Traditional Shelter,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:25,11/22/22 11:26,IP Address,206.82.9.171,100,86,TRUE,11/22/22 11:26,R_NWw5WT2wsZ1IaOJ,,,,,39.3037,-94.9322,anonymous,EN,0.899999976,,0,35,,2.532,33.472,34.422,11,25-34 years old,Male,Single,"$75,000-$99,999",Pennsylvania,3.006,7.292,9.056,4,Yes,Dogs,I will shop for a dog,Small (Less than 30 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Abstain from animal euthanization
,Avoid and transfer responsibility for overcrowding to other shelters
",,2,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2.012,15.652,17.793,10,8,7,9,7,,,,,,,,,,,,,,,,,,,,,,,,,104858,104858,Yes,No,No-Kill Shelter,Traditional Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:25,11/22/22 11:27,IP Address,147.124.221.111,100,97,TRUE,11/22/22 11:27,R_2qlO7TWkntKJCEW,,,,,32.7797,-96.8022,anonymous,EN,1,,0,25,,5.416,16.003,20.098,7,25-34 years old,Female,Single,"$25,000-$49,999",Georgia,1.801,8.321,9.194,5,Yes,Dogs,I will adopt a dog,Medium (Between 30-60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,2,1,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.204,15.573,16.653,8,,,,,5,5,6,6,,,,,,773795,Yes,Yes,Traditional Shelter,Traditional Shelter,No-Kill Shelter,No-Kill Shelter
11/22/22 11:26,11/22/22 11:27,IP Address,149.46.54.229,100,86,TRUE,11/22/22 11:27,R_2E06qVYFr6JH03m,,,,,40.5237,-74.4151,anonymous,EN,0.899999976,,0,25,,4.263,19.24,20.552,9,18-24 years old,Male,Married,"$50,000-$74,999",Utah,1.28,13.1,14.84,7,Yes,Neither dogs nor cats,I will adopt a dog,Large (Greater than 60 lbs.),,,,,"Consider euthanizing ill or unadoptable animals,Accept and care for all animals
","Abstain from animal euthanization
,Avoid and transfer responsibility for overcrowding to other shelters
",,2,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.368,12.705,16.769,8,,,,,,,,,7,7,6,7,826961,826961,Yes,Yes,No-Kill Shelter,No-Kill Shelter,Traditional Shelter,No-Kill Shelter
11/22/22 11:26,11/22/22 11:27,IP Address,202.182.65.201,100,92,TRUE,11/22/22 11:27,R_265pwKw7iv3bFRR,,,,,40.694,-73.9901,anonymous,EN,0.899999976,,0,25,,4.134,11.363,12.095,9,25-34 years old,Male,Married,"$25,000-$49,999",Arkansas,0.751,3.982,11.469,5,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,0,0,25.755,0,"French BullDog,Beagle","Australian Shepherd,Shetland Sheepdog","German Shepherd,Labrador Retriever",1,,,,2,,,1,,2,,,,,1,,,2,,,,,,,,,,,,,,,,,0.232,16.152,16.968,3,,,,,6,5,8,6,,,,,255231,255231,No,Yes,Traditional Shelter,No-Kill Shelter,Traditional Shelter,No-Kill Shelter
11/22/22 11:25,11/22/22 11:27,IP Address,147.124.216.79,100,119,TRUE,11/22/22 11:27,R_OuM71KGceApjHEJ,,,,,32.7797,-96.8022,anonymous,EN,1,,0,25,,3.633,14.984,15.937,6,25-34 years old,Male,Single,"$25,000-$49,999",Georgia,1.318,8.501,9.667,4,Yes,Dogs,I will shop for a dog,Medium (Between 30-60 lbs.),,,,,,,,,,,,,,,4.597,4.597,58.232,1,"Beagle,French BullDog","Shetland Sheepdog,Australian Shepherd","German Shepherd,Labrador Retriever",2,,,,1,,,2,,1,,,,,1,,,2,2.077,13.136,14.467,11,,,,,4,4,5,7,,,,,,,,,,,,,,,,,,,,,,112528,No,No,Traditional Shelter,No-Kill Shelter,Traditional Shelter,Traditional Shelter
11/22/22 11:26,11/22/22 11:28,IP Address,75.177.118.157,100,113,TRUE,11/22/22 11:28,R_3rOJp3vMIJsgmFb,,,,,36.5002,-80.6163,anonymous,EN,1,,0,0,,1.71,7.672,13.53,5,35-44 years old,Female,Married,"$50,000-$74,999",North Carolina,30.021,37.144,38.174,5,Yes,Cats,I will shop for a dog,Small (Less than 30 lbs.),,,,,"Accept and care for all animals
,Consider euthanizing ill or unadoptable animals","Avoid and transfer responsibility for overcrowding to other shelters
,Abstain from animal euthanization
",,1,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,7.424,18.7,20.614,4,4,5,7,3,,,,,,,,,,,,,,,,,,,,,,,,,740378,740378,Yes,No,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter,No-Kill Shelter
