ip,rid,age_bin,gender,marital,income_bin,state,own_dog,dog_or_cat,adopt_or_shop,dog_size,msg_treat_ind,shelter_treat_bin,duration,dog_num,rating,shelter_tp
104.175.0.154,924675,4,1,2,5,4,1,2,0,1,0,1,88,1,8,1
104.175.0.154,924675,4,1,2,5,4,1,2,0,1,0,1,88,2,9,1
104.175.0.154,924675,4,1,2,5,4,1,2,0,1,0,1,88,3,8,2
104.175.0.154,924675,4,1,2,5,4,1,2,0,1,0,1,88,4,10,2
104.37.172.149,276938,2,0,2,2,34,2,1,1,0,1,1,245,1,3,2
104.37.172.149,276938,2,0,2,2,34,2,1,1,0,1,1,245,2,8,2
104.37.172.149,276938,2,0,2,2,34,2,1,1,0,1,1,245,3,4,2
104.37.172.149,276938,2,0,2,2,34,2,1,1,0,1,1,245,4,7,2
128.254.166.169,185377,2,1,0,2,15,2,1,1,2,0,0,94,1,5,0
128.254.166.169,185377,2,1,0,2,15,2,1,1,2,0,0,94,2,7,0
128.254.166.169,185377,2,1,0,2,15,2,1,1,2,0,0,94,3,8,0
128.254.166.169,185377,2,1,0,2,15,2,1,1,2,0,0,94,4,6,0
137.148.112.26,864738,3,0,2,2,35,2,1,1,1,1,1,79,1,8,1
137.148.112.26,864738,3,0,2,2,35,2,1,1,1,1,1,79,2,4,2
137.148.112.26,864738,3,0,2,2,35,2,1,1,1,1,1,79,3,10,2
137.148.112.26,864738,3,0,2,2,35,2,1,1,1,1,1,79,4,4,2
206.82.9.171,104858,2,1,2,3,38,2,1,1,0,1,0,86,1,8,0
206.82.9.171,104858,2,1,2,3,38,2,1,1,0,1,0,86,2,7,0
206.82.9.171,104858,2,1,2,3,38,2,1,1,0,1,0,86,3,9,0
206.82.9.171,104858,2,1,2,3,38,2,1,1,0,1,0,86,4,7,0
147.124.221.111,773795,2,0,2,1,10,2,1,0,1,1,1,97,1,5,1
147.124.221.111,773795,2,0,2,1,10,2,1,0,1,1,1,97,2,5,1
147.124.221.111,773795,2,0,2,1,10,2,1,0,1,1,1,97,3,6,2
147.124.221.111,773795,2,0,2,1,10,2,1,0,1,1,1,97,4,6,2
149.46.54.229,826961,1,1,0,2,44,2,2,0,2,1,1,86,1,7,2
149.46.54.229,826961,1,1,0,2,44,2,2,0,2,1,1,86,2,7,2
149.46.54.229,826961,1,1,0,2,44,2,2,0,2,1,1,86,3,6,1
149.46.54.229,826961,1,1,0,2,44,2,2,0,2,1,1,86,4,7,2
202.182.65.201,255231,2,1,0,1,3,2,1,1,1,0,1,92,1,6,1
202.182.65.201,255231,2,1,0,1,3,2,1,1,1,0,1,92,2,5,2
202.182.65.201,255231,2,1,0,1,3,2,1,1,1,0,1,92,3,8,1
202.182.65.201,255231,2,1,0,1,3,2,1,1,1,0,1,92,4,6,2
147.124.216.79,112528,2,1,2,1,10,2,1,1,1,0,0,119,1,4,0
147.124.216.79,112528,2,1,2,1,10,2,1,1,1,0,0,119,2,4,0
147.124.216.79,112528,2,1,2,1,10,2,1,1,1,0,0,119,3,5,0
147.124.216.79,112528,2,1,2,1,10,2,1,1,1,0,0,119,4,7,0
75.177.118.157,740378,3,0,0,2,34,2,0,1,0,1,0,113,1,4,0
75.177.118.157,740378,3,0,0,2,34,2,0,1,0,1,0,113,2,5,0
75.177.118.157,740378,3,0,0,2,34,2,0,1,0,1,0,113,3,7,0
75.177.118.157,740378,3,0,0,2,34,2,0,1,0,1,0,113,4,3,0
173.61.100.107,299415,3,1,2,5,33,0,1,0,2,0,0,141,1,10,0
173.61.100.107,299415,3,1,2,5,33,0,1,0,2,0,0,141,2,10,0
173.61.100.107,299415,3,1,2,5,33,0,1,0,2,0,0,141,3,5,0
173.61.100.107,299415,3,1,2,5,33,0,1,0,2,0,0,141,4,9,0
192.126.251.177,950424,1,1,0,3,46,2,2,0,1,0,1,122,1,4,2
192.126.251.177,950424,1,1,0,3,46,2,2,0,1,0,1,122,2,3,2
192.126.251.177,950424,1,1,0,3,46,2,2,0,1,0,1,122,3,4,2
192.126.251.177,950424,1,1,0,3,46,2,2,0,1,0,1,122,4,5,2
202.182.69.228,657456,2,1,0,2,23,2,1,1,1,0,0,145,1,3,0
202.182.69.228,657456,2,1,0,2,23,2,1,1,1,0,0,145,2,5,0
202.182.69.228,657456,2,1,0,2,23,2,1,1,1,0,0,145,3,7,0
202.182.69.228,657456,2,1,0,2,23,2,1,1,1,0,0,145,4,6,0
149.46.192.151,434384,4,0,0,3,43,2,1,1,1,0,1,160,1,6,1
149.46.192.151,434384,4,0,0,3,43,2,1,1,1,0,1,160,2,7,1
149.46.192.151,434384,4,0,0,3,43,2,1,1,1,0,1,160,3,8,1
149.46.192.151,434384,4,0,0,3,43,2,1,1,1,0,1,160,4,6,1
104.229.232.9,532955,3,1,0,3,33,0,0,0,1,1,1,122,1,4,1
104.229.232.9,532955,3,1,0,3,33,0,0,0,1,1,1,122,2,7,1
104.229.232.9,532955,3,1,0,3,33,0,0,0,1,1,1,122,3,4,1
104.229.232.9,532955,3,1,0,3,33,0,0,0,1,1,1,122,4,7,2
45.77.213.229,290772,3,1,0,3,4,2,1,0,1,1,1,133,1,6,2
45.77.213.229,290772,3,1,0,3,4,2,1,0,1,1,1,133,2,4,2
45.77.213.229,290772,3,1,0,3,4,2,1,0,1,1,1,133,3,8,1
45.77.213.229,290772,3,1,0,3,4,2,1,0,1,1,1,133,4,8,1
154.7.226.199,636519,2,0,2,0,9,2,1,1,0,1,0,154,1,7,0
154.7.226.199,636519,2,0,2,0,9,2,1,1,0,1,0,154,2,9,0
154.7.226.199,636519,2,0,2,0,9,2,1,1,0,1,0,154,3,10,0
154.7.226.199,636519,2,0,2,0,9,2,1,1,0,1,0,154,4,7,0
208.221.40.79,654034,3,1,0,1,14,2,1,0,0,1,0,158,1,7,0
208.221.40.79,654034,3,1,0,1,14,2,1,0,0,1,0,158,2,8,0
208.221.40.79,654034,3,1,0,1,14,2,1,0,0,1,0,158,3,7,0
208.221.40.79,654034,3,1,0,1,14,2,1,0,0,1,0,158,4,7,0
